X,Y,PoliceUseOfForceID,CaseNumber,ResponseDate,Problem,Is911Call,PrimaryOffense,SubjectInjury,ForceReportNumber,SubjectRole,SubjectRoleNumber,ForceType,ForceTypeAction,Race,Sex,EventAge,TypeOfResistance,Precinct,Neighborhood
-93.27996035,44.97429462,20822297,20-282601,2020/11/05 22:03:53+00,Check the Welfare ,Yes,NARC    ,No,4,ARRESTEE                                               ,1,Bodily Force,Takedown,White,Male,45,Assaulted Officer                                                              ,1,Downtown West
-93.27996035,44.97429462,20823608,20-282601,2020/11/05 22:03:53+00,Check the Welfare ,Yes,NARC    ,No,5,ARRESTEE                                               ,1,Bodily Force,Takedown,White,Male,45,Verbal Non-Compliance                                                          ,1,Downtown West
-93.27996035,44.97429462,20826824,20-282601,2020/11/05 22:03:53+00,Check the Welfare ,Yes,NARC    ,No,5,ARRESTEE                                               ,1,Bodily Force,Joint Lock,White,Male,45,Verbal Non-Compliance                                                          ,1,Downtown West
-93.27996035,44.97429462,20827179,20-282601,2020/11/05 22:03:53+00,Check the Welfare ,Yes,NARC    ,No,2,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,White,Male,45,Commission of a Crime                                                          ,1,Downtown West
-93.27996035,44.97429462,20833769,20-282601,2020/11/05 22:03:53+00,Check the Welfare ,Yes,NARC    ,No,5,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,White,Male,45,Verbal Non-Compliance                                                          ,1,Downtown West
-93.27996035,44.97429462,20834046,20-282601,2020/11/05 22:03:53+00,Check the Welfare ,Yes,NARC    ,No,4,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,White,Male,45,Assaulted Officer                                                              ,1,Downtown West
-93.27148689,44.96551161,20833952,20-282585,2020/11/05 21:41:47+00,Stabbing ,Yes,DASLT2  ,No,1,ARRESTEE                                               ,1,Bodily Force,Joint Lock,Unknown,Female,47,Commission of a Crime                                                          ,5,Stevens Square - Loring Heights
-93.2865104,45.01940205,20834057,20-282506,2020/11/05 20:20:55+00,Assist Other Agency ,No,FLEE    ,No,2,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,43,Fled on Foot                                                                   ,4,McKinley
-93.2808366,44.96932761,20829241,20-282435,2020/11/05 19:11:09+00,Check the Welfare ,Yes,CIC     ,No,2,PERSON IN CRISIS                                       ,1,Bodily Force,Body Weight Pin,White,Male,28,Tensed                                                                         ,1,Loring Park
-93.2808366,44.96932761,20833874,20-282435,2020/11/05 19:11:09+00,Check the Welfare ,Yes,CIC     ,No,2,PERSON IN CRISIS                                       ,1,Bodily Force,Knee,White,Male,28,Tensed                                                                         ,1,Loring Park
-93.22566987,44.9730441,20834448,20-282243,2020/11/05 15:10:03+00,Motor Vehicle Chase ,No,ASLT2   ,Yes,6,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,25,Fled on Foot                                                                   ,2,Prospect Park - East River Road
-93.26333732,44.9015696,20833768,20-282200,2020/11/05 14:05:14+00,Damage Property-In Progress,Yes,FORCE   ,No,1,PERSON IN CRISIS                                       ,1,Bodily Force,Joint Lock,Black,Male,40,Fled on Foot                                                                   ,3,Diamond Lake
-93.27591225,44.96090284,20822238,20-282037,2020/11/05 09:40:36+00,Attempt Pick-Up ,No,WT      ,No,1,ARRESTEE                                               ,1,Improvised Weapon,Other Improvised Weapon,White,Male,36,Other                                                                          ,5,Whittier
-93.26310961,45.00926961,20825141,20-281718,2020/11/04 21:09:07+00,Emotionally Disturb Person ,Yes,CIC     ,No,1,PERSON IN CRISIS                                       ,1,Taser,Red Dot,White,Male,35,Tensed                                                                         ,2,Holland
-93.26310961,45.00926961,20825462,20-281718,2020/11/04 21:09:07+00,Emotionally Disturb Person ,Yes,CIC     ,No,1,PERSON IN CRISIS                                       ,1,Bodily Force,Body Weight Pin,White,Male,35,Tensed                                                                         ,2,Holland
-93.26310961,45.00926961,20834502,20-281718,2020/11/04 21:09:07+00,Emotionally Disturb Person ,Yes,CIC     ,No,3,PERSON IN CRISIS                                       ,1,Bodily Force,Body Weight Pin,White,Male,35,Verbal Non-Compliance                                                          ,2,Holland
-93.26310961,45.00926961,20835505,20-281718,2020/11/04 21:09:07+00,Emotionally Disturb Person ,Yes,CIC     ,No,2,PERSON IN CRISIS                                       ,1,Bodily Force,Body Weight Pin,White,Male,35,Other                                                                          ,2,Holland
-93.25277184,45.01216731,20822343,20-281708,2020/11/04 20:54:28+00,Domestic Abuse Report Only ,Yes,DOMEN   ,No,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,27,Verbal Non-Compliance                                                          ,2,Holland
-93.25277184,45.01216731,20823019,20-281708,2020/11/04 20:54:28+00,Domestic Abuse Report Only ,Yes,DOMEN   ,No,2,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,27,Other                                                                          ,2,Holland
-93.25277184,45.01216731,20823502,20-281708,2020/11/04 20:54:28+00,Domestic Abuse Report Only ,Yes,DOMEN   ,No,2,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,27,Other                                                                          ,2,Holland
-93.25277184,45.01216731,20834396,20-281708,2020/11/04 20:54:28+00,Domestic Abuse Report Only ,Yes,DOMEN   ,No,3,ARRESTEE                                               ,1,Bodily Force,Joint Lock,Black,Male,27,Other                                                                          ,2,Holland
-93.2717965,44.97736687,20824821,20-281686,2020/11/04 20:30:03+00,Person with a Gun ,Yes,ASLT4   ,No,3,ARRESTEE                                               ,1,Bodily Force,Joint Lock,Black,Male,19,Assaulted Officer                                                              ,1,Downtown West
-93.2717965,44.97736687,20826238,20-281686,2020/11/04 20:30:03+00,Person with a Gun ,Yes,ASLT4   ,No,9,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,19,Commission of a Crime                                                          ,1,Downtown West
-93.2717965,44.97736687,20826343,20-281686,2020/11/04 20:30:03+00,Person with a Gun ,Yes,ASLT4   ,No,3,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,19,Assaulted Officer                                                              ,1,Downtown West
-93.2717965,44.97736687,20829738,20-281686,2020/11/04 20:30:03+00,Person with a Gun ,Yes,ASLT4   ,No,9,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,19,Commission of a Crime                                                          ,1,Downtown West
-93.2717965,44.97736687,20829843,20-281686,2020/11/04 20:30:03+00,Person with a Gun ,Yes,ASLT4   ,No,3,ARRESTEE                                               ,1,Bodily Force,Push Away,Black,Male,19,Assaulted Officer                                                              ,1,Downtown West
-93.2717965,44.97736687,20834202,20-281686,2020/11/04 20:30:03+00,Person with a Gun ,Yes,ASLT4   ,No,3,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,19,Assaulted Officer                                                              ,1,Downtown West
-93.31400365,45.00783308,20829888,20-281592,2020/11/04 18:43:15+00,Overdose-Accidental ,No,CIC     ,No,2,PERSON IN CRISIS                                       ,1,Bodily Force,Body Weight Pin,Native American,Male,28,Tensed                                                                         ,4,Willard - Hay
-93.28299,44.95134443,20822528,20-281337,2020/11/04 12:52:13+00,Fight ,Yes,WT      ,No,2,INVOLVED                                               ,1,Improvised Weapon,Other Improvised Weapon,Black,Female,30,Other                                                                          ,5,Whittier
-93.28299,44.95134443,20830847,20-281337,2020/11/04 12:52:13+00,Fight ,Yes,WT      ,No,1,ARRESTEE                                               ,1,Improvised Weapon,Other Improvised Weapon,White,Male,29,Commission of a Crime                                                          ,5,Whittier
