reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,policePrecinct,neighborhood
Investigative,Suspicious Person (P),TAG-Tagged,YES,YES,NO,Black,Black,Male,One,Downtown West
Investigative,Suspicious Person (P),SNT-Sent,NO,YES,NO,Black,Black,Male,Five,Lowry Hill East
Citizen / 9-1-1,Attempt Pick-Up (P),BKG-Booking,NO,YES,NO,Black,Black,Male,Four,Victory
Citizen / 9-1-1,Curfew Violations (P),TAG-Tagged,YES,YES,NO,Unknown,East African,Male,Three,Hale
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Unknown,Latino,Male,Three,East Phillips
Citizen / 9-1-1,Suspicious Person (P),SNT-Sent,NO,YES,NO,Unknown,White,Male,Three,Longfellow
Investigative,Suspicious Person (P),ADV-Advised,NO,YES,NO,Black,Black,Female,Four,Folwell
Citizen / 9-1-1,Suspicious Person (P),SNT-Sent,NO,YES,NO,Black,Black,Male,Three,Ventura Village
Citizen / 9-1-1,Suspicious Vehicle (P),ADV-Advised,NO,YES,NO,Unknown,Native American,Male,Three,Longfellow
Citizen / 9-1-1,Suspicious Person (P),BKG-Booking,YES,YES,NO,White,White,Male,Two,Beltrami
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Female,One,Downtown West
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Female,One,Downtown West
Investigative,Suspicious Person (P),AOK- All OK,NO,YES,NO,Native American,Native American,Male,Two,Holland
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Unknown,Black,Male,Five,Lyndale
Citizen / 9-1-1,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Male,One,Downtown West
Investigative,Suspicious Person (P),ADV-Advised,NO,YES,NO,Black,Black,Male,Four,Webber/Camden
Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Unknown,Black,Male,Four,McKinley
Investigative,Suspicious Vehicle (P),BKG-Booking,NO,YES,NO,Other,Other,Female,Two,Marshall Terrace
Citizen / 9-1-1,Suspicious Person (P),TRN-Transport,NO,YES,NO,Black,Black,Male,One,Downtown West
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,YES,Native American,Native American,Male,Three,Seward
Moving Violation,Traffic Law Enforcement (P),INF-Information,NO,YES,YES,Unknown,Black,Male,Four,Jordan
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Male,One,Downtown West
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,YES,YES,YES,Unknown,Black,Male,Four,McKinley
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Unknown,Black,Male,Four,Near/North
Investigative,Suspicious Person (P),TAG-Tagged,YES,YES,NO,Black,Black,Male,One,Downtown West
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Female,One,Downtown West
Investigative,Suspicious Vehicle (P),TAG-Tagged,YES,YES,YES,Asian,Asian,Male,Four,Willard/Hay
Investigative,Suspicious Person (P),ADV-Advised,NO,YES,NO,Black,Black,Male,Four,Hawthorne
Investigative,Attempt Pick-Up (P),BKG-Booking,NO,YES,YES,Black,Black,Male,Four,Near/North
Investigative,Suspicious Person (P),RPT-Report,NO,YES,YES,Black,Black,Female,Two,Northeast Park
