reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,policePrecinct,neighborhood
Investigative,Suspicious Person (P),RFD-Refused,NO,YES,NO,Black,Black,Male,One,Downtown West
Investigative,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,White,Unknown,Male,Four,Humboldt Industrial Area
Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,Three,Corcoran
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,White,White,Female,One,Downtown West
Citizen / 9-1-1,Suspicious Person (P),ADV-Advised,NO,NO,NO,Black,Unknown,Male,Three,Minnehaha
Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,White,Unknown,Female,One,Downtown West
Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,Three,East Phillips
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Black,Unknown,Unknown,One,Elliot Park
Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,Five,King Field
Citizen / 9-1-1,Suspicious Person (P),NOS-No Service,NO,NO,NO,Unknown,Unknown,Unknown,Five,Whittier
Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,Four,Near/North
Investigative,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,Four,Cleveland
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,Two,Logan Park
Moving Violation,Traffic Law Enforcement (P),AOK- All OK,NO,NO,NO,Unknown,White,Male,Four,Jordan
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,Three,East Phillips
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Female,Two,Como
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Asian,Male,One,Downtown West
Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,Four,Willard/Hay
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,Two,Nicollet Island/East Bank
Citizen / 9-1-1,Suspicious Vehicle (P),AQT-All Quiet,NO,NO,NO,Unknown,Unknown,Unknown,Four,Hawthorne
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,Four,Webber/Camden
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Two,Como
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,Five,Whittier
Citizen / 9-1-1,Suspicious Vehicle (P),RPT-Report,NO,YES,NO,Unknown,Native American,Male,Three,Ericsson
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Black,Black,Male,Five,Whittier
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,One,Cedar Riverside
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,Five,Windom
Moving Violation,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,Unknown,Unknown,Unknown,Five,Whittier
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,Three,Northrop
Citizen / 9-1-1,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,Three,Regina
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,Two,Bottineau
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Male,Four,Near/North
Moving Violation,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,One,Downtown West
Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Unknown,Unknown,Male,Four,Jordan
Citizen / 9-1-1,Attempt Pick-Up (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Male,Four,Near/North
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,Five,Lyndale
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Male,Two,Sheridan
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Unknown,Five,Lyndale
Citizen / 9-1-1,Suspicious Vehicle (P),GOA-Gone on Arrival,NO,NO,NO,Unknown,Unknown,Unknown,Four,Jordan
Citizen / 9-1-1,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Unknown,Black,Male,Four,Folwell
Investigative,Suspicious Person (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Unknown,Five,Tangletown
Citizen / 9-1-1,Suspicious Person (P),SNT-Sent,NO,YES,NO,Black,Black,Female,One,North Loop
Investigative,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,Unknown,Unknown,Five,King Field
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Male,Five,Loring Park
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,One,Loring Park
Citizen / 9-1-1,Attempt Pick-Up (P),UTL-Unable to Locate,NO,NO,NO,Black,Black,Male,Five,Whittier
Investigative,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,Other,Female,Five,Lyndale
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,Five,CARAG
Investigative,Suspicious Vehicle (P),INF-Information,NO,NO,NO,Unknown,Unknown,Unknown,Five,Lowry Hill East
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,Five,Whittier
Citizen / 9-1-1,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,Black,Female,Four,Near/North
Investigative,Traffic Law Enforcement (P),TOW-Towed,NO,NO,NO,Unknown,Black,Female,One,Downtown West
Investigative,Suspicious Vehicle (P),UTL-Unable to Locate,NO,NO,NO,Black,Black,Male,Three,Ventura Village
Citizen / 9-1-1,Suspicious Person (P),GOA-Gone on Arrival,NO,NO,NO,Latino,Unknown,Male,Two,Holland
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Black,Black,Male,Three,East Phillips
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,NO,NO,Unknown,White,Female,One,Downtown West
Citizen / 9-1-1,Suspicious Vehicle (P),AOK- All OK,NO,NO,NO,Unknown,Unknown,Unknown,Three,Diamond Lake
Citizen / 9-1-1,Suspicious Vehicle (P),ADV-Advised,NO,NO,NO,Unknown,East African,Male,Three,Seward
