X,Y,PoliceUseOfForceID,CaseNumber,ResponseDate,Problem,Is911Call,PrimaryOffense,SubjectInjury,ForceReportNumber,SubjectRole,SubjectRoleNumber,ForceType,ForceTypeAction,Race,Sex,EventAge,TypeOfResistance,Precinct,Neighborhood
-93.23893067,44.94565104,20822467,20-004475,2020/01/06 07:33:06+00,Check the Welfare ,No,CIC     ,No,1,PERSON IN CRISIS                                       ,1,Bodily Force,Body Weight Pin,Black,Female,27,Verbal Non-Compliance                                                          ,3,Corcoran
-93.23893067,44.94565104,20828944,20-004475,2020/01/06 07:33:06+00,Check the Welfare ,No,CIC     ,No,1,PERSON IN CRISIS                                       ,1,Bodily Force,Punch,Black,Female,27,Verbal Non-Compliance                                                          ,3,Corcoran
-93.23893067,44.94565104,20829058,20-004475,2020/01/06 07:33:06+00,Check the Welfare ,No,CIC     ,No,2,PERSON IN CRISIS                                       ,1,Bodily Force,Kicks,Black,Female,27,Assaulted Officer                                                              ,3,Corcoran
-93.26418735,44.96954004,20820843,20-003914,2020/01/05 13:24:30+00,Person with a Gun ,Yes,ASLT2   ,No,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,35,Commission of a Crime                                                          ,1,Elliot Park
-93.26418735,44.96954004,20821311,20-003914,2020/01/05 13:24:30+00,Person with a Gun ,Yes,ASLT2   ,No,2,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,35,Fled on Foot                                                                   ,1,Elliot Park
-93.26418735,44.96954004,20833752,20-003914,2020/01/05 13:24:30+00,Person with a Gun ,Yes,ASLT2   ,No,1,ARRESTEE                                               ,1,Bodily Force,Punch,Black,Male,35,Commission of a Crime                                                          ,1,Elliot Park
-93.29700751,44.94836604,20824401,20-003632,2020/01/05 01:45:38+00,Assault in Progress ,Yes,WT      ,No,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,37,Other                                                                          ,5,Lowry Hill East
-93.29700751,44.94836604,20828126,20-003632,2020/01/05 01:45:38+00,Assault in Progress ,Yes,WT      ,No,1,ARRESTEE                                               ,1,Bodily Force,Push Away,Black,Male,37,Other                                                                          ,5,Lowry Hill East
-93.29700751,44.94836604,20831661,20-003632,2020/01/05 01:45:38+00,Assault in Progress ,Yes,WT      ,No,1,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,37,Other                                                                          ,5,Lowry Hill East
-93.3095168,45.01356972,20821467,20-002346,2020/01/03 14:44:47+00,Disturbance ,Yes,WEAP    ,No,3,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,17,Tensed                                                                         ,4,Cleveland
-93.3095168,45.01356972,20830301,20-002346,2020/01/03 14:44:47+00,Disturbance ,Yes,WEAP    ,No,2,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,17,Other                                                                          ,4,Cleveland
-93.3095168,45.01356972,20833519,20-002346,2020/01/03 14:44:47+00,Disturbance ,Yes,WEAP    ,No,4,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,17,Other                                                                          ,4,Cleveland
-93.3095168,45.01356972,20834229,20-002346,2020/01/03 14:44:47+00,Disturbance ,Yes,WEAP    ,No,1,ARRESTEE                                               ,1,Bodily Force,Joint Lock,Black,Male,17,Tensed                                                                         ,4,Cleveland
-93.3095168,45.01356972,20834328,20-002346,2020/01/03 14:44:47+00,Disturbance ,Yes,WEAP    ,No,3,ARRESTEE                                               ,1,Taser,Touch,Black,Male,17,Tensed                                                                         ,4,Cleveland
-93.3095168,45.01356972,20834433,20-002346,2020/01/03 14:44:47+00,Disturbance ,Yes,WEAP    ,No,1,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,17,Tensed                                                                         ,4,Cleveland
-93.25616166,44.95958015,20821355,20-002249,2020/01/03 13:07:05+00,Recover Vehicle ,No,RECVEH  ,No,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,24,Commission of a Crime                                                          ,3,Ventura Village
-93.25616166,44.95958015,20823923,20-002249,2020/01/03 13:07:05+00,Recover Vehicle ,No,RECVEH  ,No,1,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,24,Commission of a Crime                                                          ,3,Ventura Village
-93.29248776,44.95732448,20824295,20-001826,2020/01/02 23:38:11+00,Suspicious Vehicle ,No,GRSRPT  ,No,1,ARRESTEE                                               ,1,Bodily Force,Takedown,White,Male,52,Verbal Non-Compliance                                                          ,5,Lowry Hill East
-93.28136228,44.94748259,20822931,20-001550,2020/01/02 18:15:50+00,Customer Trouble ,Yes,ASLT4   ,No,1,ARRESTEE                                               ,1,Taser,Firing Darts,White,Male,42,Assaulted Officer                                                              ,5,Lyndale
-93.27106522,44.9783385,20822672,20-001381,2020/01/02 14:12:22+00,Disturbance ,Yes,OBSTRU  ,No,1,ARRESTEE                                               ,1,Bodily Force,Punch,Black,Male,48,Fled on Foot                                                                   ,1,Downtown West
-93.27106522,44.9783385,20830351,20-001381,2020/01/02 14:12:22+00,Disturbance ,Yes,OBSTRU  ,No,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Black,Male,48,Fled on Foot                                                                   ,1,Downtown West
-93.2766777,44.91874448,20833857,20-001352,2020/01/02 13:34:54+00,Person with a Gun ,Yes,DASLT2  ,No,1,ARRESTEE                                               ,1,Taser,Firing Darts,Black,Male,26,Fled on Foot                                                                   ,5,Tangletown
-93.30032912,45.03737763,20828952,20-000540,2020/01/01 12:21:07+00,Unknown Trouble ,Yes,FLEE    ,No,2,PERSON IN CRISIS                                       ,1,Bodily Force,Body Weight Pin,Black,Male,35,Fled in a Vehicle                                                              ,4,Webber - Camden
-93.30032912,45.03737763,20829049,20-000540,2020/01/01 12:21:07+00,Unknown Trouble ,Yes,FLEE    ,No,3,PERSON IN CRISIS                                       ,1,Bodily Force,Takedown,Black,Male,35,Fled in a Vehicle                                                              ,4,Webber - Camden
-93.30032912,45.03737763,20833478,20-000540,2020/01/01 12:21:07+00,Unknown Trouble ,Yes,FLEE    ,No,1,PERSON IN CRISIS                                       ,1,Bodily Force,Body Weight Pin,Black,Male,35,Fled in a Vehicle                                                              ,4,Webber - Camden
-93.26510627,44.96332371,20822800,20-000444,2020/01/01 08:38:25+00,Slumper w/Fire ,Yes,OBSTRU  ,Yes,1,ARRESTEE                                               ,1,Bodily Force,Joint Lock,White,Male,22,Fled in a Vehicle                                                              ,3,Ventura Village
-93.26510627,44.96332371,20829057,20-000444,2020/01/01 08:38:25+00,Slumper w/Fire ,Yes,OBSTRU  ,Yes,1,ARRESTEE                                               ,1,Taser,Touch,White,Male,22,Fled in a Vehicle                                                              ,3,Ventura Village
-93.26510627,44.96332371,20833697,20-000444,2020/01/01 08:38:25+00,Slumper w/Fire ,Yes,OBSTRU  ,Yes,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,White,Male,22,Fled in a Vehicle                                                              ,3,Ventura Village
